Ticker.Symbol,Security,SEC.filings,GICS.Sector,GICS.Sub.Industry,City,State,Country,Date.first.added,CIK,Financials.,marketcap
PLD,Prologis,reports,Real Estate,REITs,San Francisco, California,United States,,1045609,0,103975186
PM,Philip Morris International,reports,Consumer Staples,Tobacco,New York, New York,United States,3/31/2008,1413329,1,302740403.4
PNC,PNC Financial Services,reports,Financials,Banks,Pittsburgh, Pennsylvania,United States,4/30/1988,713676,1,190048302.4
PNW,Pinnacle West Capital,reports,Utilities,MultiUtilities,Phoenix, Arizona,United States,,764622,1,33732368.57
PPG,PPG Industries,reports,Materials,Diversified Chemicals,Pittsburgh, Pennsylvania,United States,,79879,1,117578210.5
PPL,PPL Corp.,reports,Utilities,Electric Utilities,Allentown, Pennsylvania,United States,,922224,1,93695382.25
PRGO,Perrigo,reports,Health Care,Pharmaceuticals,Dublin,NA,Ireland,12/19/2011,1585364,0,75780917.73
PRU,Prudential Financial,reports,Financials,Diversified Financial Services,Newark, New Jersey,United States,,1137774,1,151896379.1
PSA,Public Storage,reports,Real Estate,REITs,Glendale, California,United States,,1393311,0,197976300
PSX,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing & Transportation,Houston, Texas,United States,5/1/2012,1534701,1,118061988.5
PVH,PVH Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",New York, New York,United States,2/15/2013,78239,1,66994174.52
PWR,Quanta Services Inc.,reports,Industrials,Industrial Conglomerates,Houston, Texas,United States,7/1/2009,1050915,1,59098626.61
PX,Praxair Inc.,reports,Materials,Industrial Gases,Danbury, Connecticut,United States,7/1/1992,884905,1,115408714
PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,Irving, Texas,United States,9/24/2008,1038357,0,140886773.5
QCOM,QUALCOMM Inc.,reports,Information Technology,Semiconductors,San Diego, California,United States,,804328,1,385299382.3
QRVO,Qorvo,reports,Information Technology,Semiconductors,Greensboro, North Carolina,United States,6/11/2015,1604778,1,64441333
R,Ryder System,reports,Industrials,Industrial Conglomerates,Miami, Florida,United States,12/31/1982,85961,1,30498068.82
RAI,Reynolds American Inc.,reports,Consumer Staples,Tobacco,Winston-Salem, North Carolina,United States,,1275283,0,186596391.3
RCL,Royal Caribbean Cruises Ltd,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Miami, Florida,United States,12/5/2014,884887,1,88110961.07
REGN,Regeneron,reports,Health Care,Biotechnology,Tarrytown, New York,United States,5/1/2013,872589,1,224989458.5
RF,Regions Financial Corp.,reports,Financials,Diversified Financial Services,Birmingham, Alabama,United States,,1281761,0,257608348
RHI,Robert Half International,reports,Industrials,Human Resource & Employment Services,Menlo Park, California,United States,,315213,1,29438729.4
RHT,Red Hat Inc.,reports,Information Technology,Systems Software,Raleigh, North Carolina,United States,7/27/2009,1087423,1,112927935.1
RIG,Transocean,reports,Energy,Oil & Gas Drilling,Vernier,NA,Switzerland,10/29/2013,1451505,0,96750412
RL,Polo Ralph Lauren Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",New York, New York,United States,2/2/2007,1037038,1,84214368
ROK,Rockwell Automation Inc.,reports,Industrials,Industrial Conglomerates,Milwaukee, Wisconsin,United States,,1024478,1,58584957.38
ROP,Roper Industries,reports,Industrials,Industrial Conglomerates,Sarasota, Florida,United States,12/23/2009,882835,1,68160684.74
